#gene_symbol	gene_symbol_long	identifier	primary
NAC193	NAC Transcription Factor gene 193	glyma.Wm82.gnm1.ann1.Glyma02G26480	0
VQ4	VQ motif containing protein gene 4	glyma.Wm82.gnm1.ann1.Glyma02G29281	1
ATG18b	yeast autophagy 18 gene b	glyma.Wm82.gnm1.ann1.Glyma02G36960	1
VQ5	VQ motif containing protein gene 5	glyma.Wm82.gnm1.ann1.Glyma02G37135	1
G3pdh	Glycerol-3-phosphate dehydrogenase	glyma.Wm82.gnm1.ann1.Glyma02G38310	1
COL8	Constans-like 8	glyma.Wm82.gnm1.ann1.Glyma02G38870	1
FANX		glyma.Wm82.gnm1.ann1.Glyma02G39230	1
HSP15.7-CI	15.7 kDa class I-related small heat shock protein-like	glyma.Wm82.gnm1.ann1.Glyma02G41150	1
BIK1-2	BOTRYTIS INDUCED KINASE1 gene 2	glyma.Wm82.gnm1.ann1.Glyma02G41490	1
ERD15C	Responsive to Desication 15 gene C	glyma.Wm82.gnm1.ann1.Glyma02G42860	1
PAP2	Purple acid phosphatase gene 2	glyma.Wm82.gnm1.ann1.Glyma02G45950	1
NFYA	Nuclear Factor Y subunit A	glyma.Wm82.gnm1.ann1.Glyma02G47380	1
HK10	root preferential, Histidine Kinase	glyma.Wm82.gnm1.ann1.Glyma02G47610	1
PAL1	phenylalanine ammonia-lyase 1	glyma.Wm82.gnm1.ann1.Glyma02G47940	1
MYB091	MYB transcription factor 91	glyma.Wm82.gnm1.ann1.Glyma03G19030	1
VQ6	VQ motif containing protein gene 6	glyma.Wm82.gnm1.ann1.Glyma03G27560	1
VQ7	VQ motif containing protein gene 7	glyma.Wm82.gnm1.ann1.Glyma03G28360	1
RR09	Root Preferential, Response Regulator Type-A	glyma.Wm82.gnm1.ann1.Glyma03G28570	1
RS1	Raffinose Synthase 1	glyma.Wm82.gnm1.ann1.Glyma03G29440	1
PBS3	avrPphB susceptible 3	glyma.Wm82.gnm1.ann1.Glyma03G30590	1
Gy1	Glycinin gene 1	glyma.Wm82.gnm1.ann1.Glyma03G32030	1
RR34	Root Specific, Response Regulator Type-C	glyma.Wm82.gnm1.ann1.Glyma03G32720	1
SALT3	K+/H+ antiporter gene 1	glyma.Wm82.gnm1.ann1.Glyma03G32900	1
PAP3	Purple acid phosphatase gene 3	glyma.Wm82.gnm1.ann1.Glyma03G35190	1
PAP4	Purple acid phosphatase gene 4	glyma.Wm82.gnm1.ann1.Glyma03G35200	1
VQ8	VQ motif containing protein gene 8	glyma.Wm82.gnm1.ann1.Glyma03G36330	1
COL11a	Constans-like 11a	glyma.Wm82.gnm1.ann1.Glyma03G36810	1
ERS2	root preferential, Histidine Kinase	glyma.Wm82.gnm1.ann1.Glyma03G37470	1
HK01	Ubiquitous, Histidine Kinase	glyma.Wm82.gnm1.ann1.Glyma03G37760	1
PHYA4	Phytochrome A gene 4	glyma.Wm82.gnm1.ann1.Glyma03G38620	1
SWEET3	sucrose effluxer gene 3	glyma.Wm82.gnm1.ann1.Glyma03G39430	1
VQ9	VQ motif containing protein gene 9	glyma.Wm82.gnm1.ann1.Glyma03G40941	1
HK02	Root Exclusive, Histidine Kinase	glyma.Wm82.gnm1.ann1.Glyma04G06190	1
COL3a	Constans-like 3a	glyma.Wm82.gnm1.ann1.Glyma04G06240	1
RR26	Ubiquitous, Response Regiulator Type-B	glyma.Wm82.gnm1.ann1.Glyma04G06650	1
ATS9	NON-ATPASE SUBUNIT 9	glyma.Wm82.gnm1.ann1.Glyma04G08280	1
VQ10	VQ motif containing protein gene 10	glyma.Wm82.gnm1.ann1.Glyma04G10780	1
VQ11	VQ motif containing protein gene 11	glyma.Wm82.gnm1.ann1.Glyma04G11211	1
AOX1A	alternative oxidase 1A  	glyma.Wm82.gnm1.ann1.Glyma04G14800	1
VQ12	VQ motif containing protein gene 12	glyma.Wm82.gnm1.ann1.Glyma04G16880	1
ERD15A	Responsive to Desication 15 gene A	glyma.Wm82.gnm1.ann1.Glyma04G28560	1
RR12	Root Preferential, Response Regulator Type-A	glyma.Wm82.gnm1.ann1.Glyma04G29250	1
PRR37	Root Preferential, Pseudo response regulator	glyma.Wm82.gnm1.ann1.Glyma04G33110	1
NAC017	NAC Transcription Factor gene 17	glyma.Wm82.gnm1.ann1.Glyma04G33270	1
EDS1a	Enhanced disease susceptibility 1 gene b	glyma.Wm82.gnm1.ann1.Glyma04G34800	1
RR15	Root specific, Response Regulator Type-A	glyma.Wm82.gnm1.ann1.Glyma04G34820	1
PAP5	Purple acid phosphatase 5 gene	glyma.Wm82.gnm1.ann1.Glyma04G37180	1
SWEET4	sucrose effluxer gene 4	glyma.Wm82.gnm1.ann1.Glyma04G37510	1
SWEET5	sucrose effluxer gene 5	glyma.Wm82.gnm1.ann1.Glyma04G37520	1
SWEET6	sucrose effluxer gene 6	glyma.Wm82.gnm1.ann1.Glyma04G37530	1
NAC038	NAC Transcription Factor gene 38	glyma.Wm82.gnm1.ann1.Glyma04G38990	1
VQ13	VQ motif containing protein gene 13	glyma.Wm82.gnm1.ann1.Glyma04G39270	1
RR17	Shoot preferential, Response Regulator Type-A	glyma.Wm82.gnm1.ann1.Glyma04G40100	1
PRR43	Root Preferential, Pseudo response regulator	glyma.Wm82.gnm1.ann1.Glyma04G40640	1
PRR5	Pseudo-response regulator gene 5	glyma.Wm82.gnm1.ann1.Glyma04G40640	0
VQ14	VQ motif containing protein gene 14	glyma.Wm82.gnm1.ann1.Glyma04G41820	1
SWEET8	sucrose effluxer gene 8	glyma.Wm82.gnm1.ann1.Glyma04G42040	1
RR07	Ubiquitous, Response Regulator Type-A	glyma.Wm82.gnm1.ann1.Glyma04G42680	1
PRR38	Ubiquitous, Pseudo response regulator	glyma.Wm82.gnm1.ann1.Glyma05G00880	1
RR03	Ubiquitous, Response Regulator Type-A	glyma.Wm82.gnm1.ann1.Glyma05G01730	1
PAP6	Purple acid phosphatase 6 gene	glyma.Wm82.gnm1.ann1.Glyma05G03320	1
EXLB4	expansin-like B gene 4	glyma.Wm82.gnm1.ann1.Glyma05G05390	1
EXLB5	expansin-like B gene 5	glyma.Wm82.gnm1.ann1.Glyma05G05420	1
EXLB6	expansin-like B gene 6	glyma.Wm82.gnm1.ann1.Glyma05G05430	1
EXLB7	expansin-like B gene 7	glyma.Wm82.gnm1.ann1.Glyma05G05880	1
PRR46	Shoot preferential, Pseudo Response Regulator	glyma.Wm82.gnm1.ann1.Glyma05G06070	1
FATB1A	16:0-acyl carrier protein (ACP) thioesterase enzyme	glyma.Wm82.gnm1.ann1.Glyma05G08060	1
FDL0513	Flowering Locus D-like gene 513	glyma.Wm82.gnm1.ann1.Glyma05G13890	1
VQ15	VQ motif containing protein gene 15	glyma.Wm82.gnm1.ann1.Glyma05G22760	1
NAC027	NAC Transcription Factor gene 27	glyma.Wm82.gnm1.ann1.Glyma05G24910	1
SWEET10	sucrose effluxer gene 10	glyma.Wm82.gnm1.ann1.Glyma05G25180	1
FDL0525	Flowering Locus D-like gene 525	glyma.Wm82.gnm1.ann1.Glyma05G25200	1
VQ16	VQ motif containing protein gene 16	glyma.Wm82.gnm1.ann1.Glyma05G26340	1
PAP7	Purple acid phosphatase gene 7	glyma.Wm82.gnm1.ann1.Glyma05G26920	1
PAP8	Purple acid phosphatase gene 8	glyma.Wm82.gnm1.ann1.Glyma05G26930	1
VQ17	VQ motif containing protein gene 17	glyma.Wm82.gnm1.ann1.Glyma05G27220	1
RR24	Root Preferential, Response Regulator Type-B	glyma.Wm82.gnm1.ann1.Glyma05G27670	1
HK13	Root Specific, Histidine Kinase	glyma.Wm82.gnm1.ann1.Glyma05G28070	1
VQ18	VQ motif containing protein gene 18	glyma.Wm82.gnm1.ann1.Glyma05G31341	1
VQ19	VQ motif containing protein gene 19	glyma.Wm82.gnm1.ann1.Glyma05G32350	1
UVR8	UVB-RESISTANCE 8  	glyma.Wm82.gnm1.ann1.Glyma05G32790	1
VQ20	VQ motif containing protein gene 20	glyma.Wm82.gnm1.ann1.Glyma05G33250	1
PAP9	Purple acid phosphatase 9 gene	glyma.Wm82.gnm1.ann1.Glyma05G33630	1
PAP10	Purple acid phosphatase gene 10	glyma.Wm82.gnm1.ann1.Glyma05G33640	1
PEAMT1	Phosphoethanolamine methyltransferase 1	glyma.Wm82.gnm1.ann1.Glyma05G33790	1
HK16	Root Specific, Histidine Kinase	glyma.Wm82.gnm1.ann1.Glyma05G34310	1
FKF1	Flavin-binding Kelch Repeat F-Box 1 gene	glyma.Wm82.gnm1.ann1.Glyma05G34530	1
COL6a	Constans-like 6a	glyma.Wm82.gnm1.ann1.Glyma05G35151	1
AOMT	Anthocyanin O-methyltransferase	glyma.Wm82.gnm1.ann1.Glyma05G36210	1
SR1	Serine racemase-1 involved in D-Serine biosynthetic process	glyma.Wm82.gnm1.ann1.Glyma05G37930	1
SWEET11	sucrose effluxer gene 11	glyma.Wm82.gnm1.ann1.Glyma05G38340	1
SWEET12	sucrose effluxer gene 12	glyma.Wm82.gnm1.ann1.Glyma05G38350	1
FDL0602	Flowering Locus D-like gene 602	glyma.Wm82.gnm1.ann1.Glyma06G02470	1
PAP11	Purple acid phosphatase 11 gene	glyma.Wm82.gnm1.ann1.Glyma06G03100	1
FDL06	Flowering Locus D-like gene 6	glyma.Wm82.gnm1.ann1.Glyma06G04350	1
HK06	root preferential, Histidine Kinase	glyma.Wm82.gnm1.ann1.Glyma06G06180	1
HK05	Root Specific, Histidine Kinase	glyma.Wm82.gnm1.ann1.Glyma06G06240	1
COL3b	Constans-like 3b	glyma.Wm82.gnm1.ann1.Glyma06G06300	1
RR31	Root Preferential, Response Regulator Type-B	glyma.Wm82.gnm1.ann1.Glyma06G06730	1
VQ21	VQ motif containing protein gene 21	glyma.Wm82.gnm1.ann1.Glyma06G10630	1
VQ22	VQ motif containing protein gene 22	glyma.Wm82.gnm1.ann1.Glyma06G10951	1
VQ23	VQ motif containing protein gene 23	glyma.Wm82.gnm1.ann1.Glyma06G10960	1
CCH	heavy-metal-associated domain-containing protein 	glyma.Wm82.gnm1.ann1.Glyma06G11190	1
RR08	Ubiquitous, Response Regulator Type-A	glyma.Wm82.gnm1.ann1.Glyma06G12100	1
SWEET13	sucrose effluxer gene 13	glyma.Wm82.gnm1.ann1.Glyma06G12740	1
VQ24	VQ motif containing protein gene 24	glyma.Wm82.gnm1.ann1.Glyma06G12960	1
SWEET14	sucrose effluxer gene 14	glyma.Wm82.gnm1.ann1.Glyma06G13110	1
PRR39	Ubiquitous, Pseudo response regulator	glyma.Wm82.gnm1.ann1.Glyma06G14150	1
RR16	Ubiquitous, Response Regulator Type-A	glyma.Wm82.gnm1.ann1.Glyma06G14750	1
VQ25	VQ motif containing protein gene 25	glyma.Wm82.gnm1.ann1.Glyma06G15650	1
SWEET16	sucrose effluxer gene 16	glyma.Wm82.gnm1.ann1.Glyma06G17530	1
SWEET17	sucrose effluxer gene 17	glyma.Wm82.gnm1.ann1.Glyma06G17540	1
ELO	Catalytic histone acetyltransferase subunit of the RNA polymerase II elongator complex	glyma.Wm82.gnm1.ann1.Glyma06G18150	1
RR14	Root Preferential, Response Regulator Type-A	glyma.Wm82.gnm1.ann1.Glyma06G19870	1
EDS1b	Enhanced disease susceptibility 1 gene a	glyma.Wm82.gnm1.ann1.Glyma06G19920	1
SWEET18	sucrose effluxer gene 18	glyma.Wm82.gnm1.ann1.Glyma06G21570	1
SWEET19	sucrose effluxer gene 19	glyma.Wm82.gnm1.ann1.Glyma06G21640	1
VQ26	VQ motif containing protein gene 26	glyma.Wm82.gnm1.ann1.Glyma06G36640	1
NAC043	NAC Transcription Factor gene 43	glyma.Wm82.gnm1.ann1.Glyma06G38410	1
NAC044	NAC Transcription Factor gene 44	glyma.Wm82.gnm1.ann1.Glyma06G38440	1
LDL2-1	LSD2-like2 gene 1	glyma.Wm82.gnm1.ann1.Glyma06G38600	1
ZF351	tandem CCCH zinc finger protein 351	glyma.Wm82.gnm1.ann1.Glyma06G44440	1
FDL0647	Flowering Locus D-like gene 647	glyma.Wm82.gnm1.ann1.Glyma06G47220	1
HP07	Shoot preferential, Phosphotransfer Protein	glyma.Wm82.gnm1.ann1.Glyma07G01840	1
VQ27	VQ motif containing protein gene 27	glyma.Wm82.gnm1.ann1.Glyma07G03240	1
PHP1	Ubiquitous, Phosphotransfer Protein	glyma.Wm82.gnm1.ann1.Glyma07G03390	1
O-MT	O-methyltransferase	glyma.Wm82.gnm1.ann1.Glyma07G05480	1
PRR45	Ubiquitous, Pseudo response regulator	glyma.Wm82.gnm1.ann1.Glyma07G05530	1
SDR	short-chain dehydrogenase/reductase (SDR) family protein 	glyma.Wm82.gnm1.ann1.Glyma07G08090	1
GA20OX	gibberellin oxidase gene 20	glyma.Wm82.gnm1.ann1.Glyma07G08950	1
LDL1-1	LSD1-like1 gene 1	glyma.Wm82.gnm1.ann1.Glyma07G09980	1
COL5a	Constans-like 5a	glyma.Wm82.gnm1.ann1.Glyma07G10161	1
VQ28	VQ motif containing protein gene 28	glyma.Wm82.gnm1.ann1.Glyma07G10290	1
PEAMT2	Phosphoethanolamine methyltransferase 2	glyma.Wm82.gnm1.ann1.Glyma07G11580	1
RR33	Ubiquitous, Response Regiulator Type-B	glyma.Wm82.gnm1.ann1.Glyma07G26890	1
HK14	Ubiquitous, Histidine Kinase	glyma.Wm82.gnm1.ann1.Glyma07G27540	1
VQ29	VQ motif containing protein gene 29	glyma.Wm82.gnm1.ann1.Glyma07G31781	1
SACPD-A	stearoyl-acyl carrier protein desaturase	glyma.Wm82.gnm1.ann1.Glyma07G32850	1
FDL07	Flowering Locus D-like gene 7	glyma.Wm82.gnm1.ann1.Glyma07G33600	1
NAC052	NAC Transcription Factor gene 52	glyma.Wm82.gnm1.ann1.Glyma07G35630	1
RR21	Root Specific, Response Regulator Type-B	glyma.Wm82.gnm1.ann1.Glyma07G37220	1
HP03	Root Specific, Phosphotransfer Protein	glyma.Wm82.gnm1.ann1.Glyma07G38310	1
VQ30	VQ motif containing protein gene 30	glyma.Wm82.gnm1.ann1.Glyma08G00850	1
SR2	Serine racemase-2	glyma.Wm82.gnm1.ann1.Glyma08G01670	1
RPS10C	40S ribosomal protein S10	glyma.Wm82.gnm1.ann1.Glyma08G02070	1
SWEET22	sucrose transporter gene 22	glyma.Wm82.gnm1.ann1.Glyma08G02890	1
COL6b	Constans-like 6b	glyma.Wm82.gnm1.ann1.Glyma08G04570	1
VQ31	VQ motif containing protein gene 31	glyma.Wm82.gnm1.ann1.Glyma08G04651	1
HK17	root preferential, Histidine Kinase	glyma.Wm82.gnm1.ann1.Glyma08G05370	1
PAP13	Purple acid phosphatase 13 gene	glyma.Wm82.gnm1.ann1.Glyma08G06090	1
ANR1	Anthocyanidin reductase 1	glyma.Wm82.gnm1.ann1.Glyma08G06630	1
ANR2	Anthocyanidin reductase 2	glyma.Wm82.gnm1.ann1.Glyma08G06640	1
PIP1:6	Plasma membrane intrinsic protein 1 gene 6	glyma.Wm82.gnm1.ann1.Glyma08G08160	1
SWEET23	sucrose transporter gene 23	glyma.Wm82.gnm1.ann1.Glyma08G08200	1
FDL0808	Flowering Locus D-like gene 808	glyma.Wm82.gnm1.ann1.Glyma08G08220	1
VQ32	VQ motif containing protein gene 32	glyma.Wm82.gnm1.ann1.Glyma08G09250	1
PAP14	Purple acid phosphatase gene 13	glyma.Wm82.gnm1.ann1.Glyma08G09880	1
PAP15	Purple acid phosphatase gene 15	glyma.Wm82.gnm1.ann1.Glyma08G09900	1
PAP16	Purple acid phosphatase 16 gene	glyma.Wm82.gnm1.ann1.Glyma08G09910	1
VQ33	VQ motif containing protein gene 33	glyma.Wm82.gnm1.ann1.Glyma08G10166	1
RR25	Root Specific, Response Regulator Type-B	glyma.Wm82.gnm1.ann1.Glyma08G10650	1
KAR	3-oxoacyl-[acyl-carrier-protein] reductase	glyma.Wm82.gnm1.ann1.Glyma08G10760	1
HK12	Root Specific, Histidine Kinase	glyma.Wm82.gnm1.ann1.Glyma08G11060	1
CHS	Chalcone synthase	glyma.Wm82.gnm1.ann1.Glyma08G11530	1
VQ34	VQ motif containing protein gene 34	glyma.Wm82.gnm1.ann1.Glyma08G14581	1
VQ35	VQ motif containing protein gene 35	glyma.Wm82.gnm1.ann1.Glyma08G15620	1
VQ36	VQ motif containing protein gene 36	glyma.Wm82.gnm1.ann1.Glyma08G16790	1
LEM3	ligand-effect modulator 3	glyma.Wm82.gnm1.ann1.Glyma08G17460	1
VQ37	VQ motif containing protein gene 37	glyma.Wm82.gnm1.ann1.Glyma08G18820	1
MAGL	Monoacylglycerol lipase	glyma.Wm82.gnm1.ann1.Glyma08G19060	1
NAC062	NAC Transcription Factor gene 62	glyma.Wm82.gnm1.ann1.Glyma08G19300	1
HP08	Ubiquitous, Phosphotransfer Protein	glyma.Wm82.gnm1.ann1.Glyma08G21510	1
PHP2	Root Preferential, Phosphotransfer Protein	glyma.Wm82.gnm1.ann1.Glyma08G22720	1
VQ38	VQ motif containing protein gene 38	glyma.Wm82.gnm1.ann1.Glyma08G22860	1
FDL08	Flowering Locus D-like gene 8	glyma.Wm82.gnm1.ann1.Glyma08G24340	1
VQ39	VQ motif containing protein gene 39	glyma.Wm82.gnm1.ann1.Glyma08G36730	1
VQ40	VQ motif containing protein gene 40	glyma.Wm82.gnm1.ann1.Glyma08G36740	1
VQ41	VQ motif containing protein gene 41	glyma.Wm82.gnm1.ann1.Glyma08G36750	1
PAP17	Purple acid phosphatase gene 17	glyma.Wm82.gnm1.ann1.Glyma08G40210	1
RR04	Shoot preferential, Response Regulator Type-A	glyma.Wm82.gnm1.ann1.Glyma08G40330	1
VQ42	VQ motif containing protein gene 42	glyma.Wm82.gnm1.ann1.Glyma08G42125	1
PAP18	Purple acid phosphatase 18 gene	glyma.Wm82.gnm1.ann1.Glyma08G42670	1
PAP19	Purple acid phosphatase 19 gene	glyma.Wm82.gnm1.ann1.Glyma08G46550	1
SWEET26	sucrose effluxer gene 26	glyma.Wm82.gnm1.ann1.Glyma08G47560	1
FT4	Flowering Locus T 4	glyma.Wm82.gnm1.ann1.Glyma08G47810	1
FT6	Flowering Locus T 6	glyma.Wm82.gnm1.ann1.Glyma08G47820	1
SWEET27	sucrose effluxer gene 27	glyma.Wm82.gnm1.ann1.Glyma08G48280	1
ETR1	Ubiquitous, Histidine Kinase	glyma.Wm82.gnm1.ann1.Glyma09G00490	1
NPR1-2	nonexpressor of PR1	glyma.Wm82.gnm1.ann1.Glyma09G02430	1
RR20	Root Preferential, Response Regulator Type-B	glyma.Wm82.gnm1.ann1.Glyma09G04470	1
SWEET28	sucrose effluxer gene 28	glyma.Wm82.gnm1.ann1.Glyma09G04840	1
CYP81D3	oxygen binding 	glyma.Wm82.gnm1.ann1.Glyma09G05440	1
VQ43	VQ motif containing protein gene 43	glyma.Wm82.gnm1.ann1.Glyma09G05700	1
GI2	gigantea protein gene 2	glyma.Wm82.gnm1.ann1.Glyma09G07240	1
DGAT1C	diacylglycerol acyltransferase 1 gene C	glyma.Wm82.gnm1.ann1.Glyma09G07520	1
MKK1b	Mitogen-activated protein kinase kinase 1 gene b	glyma.Wm82.gnm1.ann1.Glyma09G07660	1
CFIM-25	mRNA and protein family	glyma.Wm82.gnm1.ann1.Glyma09G07670	1
RR30	Root Preferential, Response Regulator Type-B	glyma.Wm82.gnm1.ann1.Glyma09G14650	1
VQ44	VQ motif containing protein gene 44	glyma.Wm82.gnm1.ann1.Glyma09G17151	1
CLC-C	anion channel/ voltage-gated chloride channel  	glyma.Wm82.gnm1.ann1.Glyma09G28620	1
VQ45	VQ motif containing protein gene 45	glyma.Wm82.gnm1.ann1.Glyma09G31600	1
LDL1-2	LSD1-like1 gene 2	glyma.Wm82.gnm1.ann1.Glyma09G31770	1
DGAT2A	diacylglycerol acyltransferase 2 gene A	glyma.Wm82.gnm1.ann1.Glyma09G32790	1
AMF5	ammonium-facilitator 5	glyma.Wm82.gnm1.ann1.Glyma09G33680	1
DAGL	Diacylglycerol lipase	glyma.Wm82.gnm1.ann1.Glyma09G34250	1
PAP20	Purple acid phosphatase gene 20	glyma.Wm82.gnm1.ann1.Glyma09G36360	1
